Nombre del archivo,Cantidad de palabras
268-VI-00006.txt,11187
274-PR-03235.txt,15265
276-VI-00022.txt,28225
277-VI-00001.txt,8104
277-VI-00002.txt,6111
277-VI-00015.txt,17543
278-HV-00015.txt,27373
278-VI-00008.txt,10258
278-VI-00023.txt,15320
278-VI-00027.txt,12392
278-VI-00029.txt,16924
280-HV-00023.txt,7662
280-VI-00005.txt,4830
280-VI-00007.txt,9563
280-VI-00015.txt,5433
280-VI-00024.txt,26800
281-VI-00005.txt,6040
283-VI-00002.txt,8712
283-VI-00004.txt,14539
284-VI-00003.txt,10468
290-VI-00003.txt,12767
290-VI-00005.txt,30583
290-VI-00012.txt,11653
290-VI-00014.txt,7664
295-VI-00009.txt,15953
295-VI-00012.txt,3946
296-VI-00001.txt,7406
298-VI-00001.txt,17992
300-VI-00003.txt,22688
304-VI-00005.txt,9911
307-VI-00027.txt,10312
308-VI-00003.txt,11839
311-VI-00003.txt,9767
311-VI-00004.txt,9226
312-VI-00006.txt,11266
315-VI-00001.txt,5398
319-VI-00011.txt,8904
321-VI-00006.txt,7338
325-VI-00033.txt,10109
326-HV-00034.txt,21822
326-PR-00063.txt,4440
326-PR-00129.txt,9760
326-PR-00588.txt,20662
326-PR-02552.txt,14015
326-VI-00001.txt,21098
327-VI-00004.txt,10402
329-VI-00001.txt,7672
329-VI-00002.txt,4151
329-VI-00011.txt,16876
329-VI-00013.txt,17318
330-PR-02457.txt,8191
330-PR-02472.txt,11597
336-VI-00007.txt,6935
337-VI-00001.txt,7058
337-VI-00002.txt,2962
337-VI-00039.txt,4775
339-VI-00006.txt,3861
339-VI-00018.txt,7402
345-PR-00401.txt,12461
345-PR-02102.txt,15990
345-VI-00009.txt,15825
346-AA-00001.txt,19677
346-HV-00061.txt,27147
346-PR-02112.txt,4480
346-PR-02306.txt,7773
346-VI-00002.txt,12698
346-VI-00009.txt,2156
349-PR-00591.txt,10333
349-VI-00001.txt,5636
354-PR-02579.txt,18756
354-PR-03092.txt,11935
377-HV-00141.txt,4856
377-VI-00004.txt,1259
386-PR-00031.txt,6547
386-PR-00212.txt,16003
386-PR-02052.txt,16299
388-VI-00001.txt,4127
398-VI-00011.txt,21749
399-PR-00576.txt,18283
399-VI-00009.txt,5276
399-VI-00012.txt,5228
399-VI-00019.txt,10605
400-VI-00001.txt,15889
401-PR-00375.txt,7434
401-PR-00659.txt,7869
402-PR-00163.txt,12470
402-PR-00605.txt,27937
403-VI-00001.txt,14397
414-AA-00001.txt,16089
414-AA-00002.txt,31513
415-VI-00001.txt,11349
415-VI-00004.txt,9288
417-VI-00003.txt,8362
418-VI-00004.txt,4174
419-VI-00001.txt,8615
419-VI-00038.txt,3376
419-VI-00041.txt,3987
419-VI-00067.txt,4037
421-VI-00009.txt,3136
421-VI-00017.txt,11519
424-VI-00001.txt,7083
426-VI-00019.txt,6031
427-VI-00013.txt,3827
427-VI-00014.txt,4352
427-VI-00021.txt,18193
431-PR-00066.txt,9339
431-PR-00067.txt,13088
431-PR-00126.txt,4449
431-PR-00266.txt,9654
431-PR-00481.txt,16601
431-PR-02406.txt,6371
431-PR-02521.txt,11937
433-VI-00001.txt,15267
434-VI-00006.txt,16709
434-VI-00011.txt,12682
437-PR-00190.txt,15698
439-VI-00012.txt,12265
439-VI-00029.txt,8296
439-VI-00042.txt,14314
439-VI-00043.txt,12166
440-PR-00940.txt,27012
440-VI-00008.txt,16247
440-VI-00011.txt,17076
441-VI-00004.txt,11880
445-VI-00005.txt,2006
447-VI-00004.txt,18345
450-VI-00001.txt,11192
452-VI-00015.txt,17133
452-VI-00016.txt,15455
453-VI-00023.txt,2415
457-PR-00907.txt,42620
457-VI-00035.txt,11632
461-VI-00002.txt,28740
461-VI-00021.txt,9900
462-HV-00046.txt,20543
462-VI-00013.txt,10502
464-VI-00008.txt,6029
